msa_code,msa_title,year,strategic_sector,sector_employment,msa_total_employment,strategic_employment_share
C4652,"Urban Honolulu, HI MSA",2024,Energy,4075.0,906387.0,0.004495872072304656
C3610,"Ocala, FL MSA",2024,Pharmaceuticals,114.0,239054.0,4.768797008207351E-4
C1474,"Bremerton-Silverdale-Port Orchard, WA MSA",2024,Energy,489.0,187143.0,0.0026129751045991566
C3070,"Lincoln, NE MSA",2024,Semiconductors,3138.0,362672.0,0.008652446287554594
C4670,"Vallejo, CA MSA",2024,Pharmaceuticals,4444.0,286733.0,0.015498739245221164
C3114,"Louisville-Jefferson County, KY-IN MSA",2024,Pharmaceuticals,8769.0,1365193.0,0.006423267625896119
C4414,"Springfield, MA MSA",2024,Semiconductors,723.0,404258.0,0.001788461823884747
C2222,"Fayetteville-Springdale-Rogers, AR MSA",2024,Energy,3574.0,537794.0,0.006645667300118633
C1888,"Crestview-Fort Walton Beach-Destin, FL MSA",2024,Energy,1669.0,248979.0,0.006703376589993534
C3386,"Montgomery, AL MSA",2024,Energy,852.0,339001.0,0.0025132669225164527
C4634,"Tyler, TX MSA",2024,Semiconductors,36.0,227047.0,1.5855747928842926E-4
C4606,"Tucson, AZ MSA",2024,Pharmaceuticals,687.0,772624.0,8.891776595083766E-4
C3886,"Portland-South Portland, ME MSA",2024,Energy,3068.0,578004.0,0.005307921744486198
C1698,"Chicago-Naperville-Elgin, IL-IN MSA",2024,Energy,36908.0,8751762.0,0.004217207917674178
C3346,"Minneapolis-St. Paul-Bloomington, MN-WI MSA",2024,Semiconductors,117666.0,3866182.0,0.030434676898293975
C1426,"Boise City, ID MSA",2024,Semiconductors,24288.0,773081.0,0.031417147750365096
C3710,"Oxnard-Thousand Oaks-Ventura, CA MSA",2024,Energy,4735.0,672545.0,0.007040421087064806
C4506,"Syracuse, NY MSA",2024,Semiconductors,17728.0,596848.0,0.02970270487628341
C3650,"Olympia-Lacey-Tumwater, WA MSA",2024,Energy,747.0,257649.0,0.002899293224503103
C4210,"Santa Cruz-Watsonville, CA MSA",2024,Semiconductors,3104.0,209029.0,0.014849614168368983
C4194,"San Jose-Sunnyvale-Santa Clara, CA MSA",2024,Energy,9674.0,2269225.0,0.0042631294825325825
C4652,"Urban Honolulu, HI MSA",2024,Pharmaceuticals,275.0,906387.0,3.0340240978743075E-4
C2434,"Grand Rapids-Wyoming-Kentwood, MI MSA",2024,Energy,2021.0,1169020.0,0.001728798480778772
C4890,"Wilmington, NC MSA",2024,Energy,2756.0,372873.0,0.007391256540430656
C3282,"Memphis, TN-MS-AR MSA",2024,Semiconductors,2728.0,1231524.0,0.0022151415644356097
C2150,"Erie, PA MSA",2024,Pharmaceuticals,130.0,239103.0,5.436987407100705E-4
C2594,"Hilton Head Island-Bluffton-Port Royal, SC MSA",2024,Pharmaceuticals,74.0,164010.0,4.5119200048777513E-4
C1538,"Buffalo-Cheektowaga, NY MSA",2024,Energy,6427.0,1068413.0,0.006015464057438463
C4220,"Santa Maria-Santa Barbara, CA MSA",2024,Pharmaceuticals,2452.0,432646.0,0.0056674509876434775
C4142,"Salem, OR MSA",2024,Semiconductors,816.0,386417.0,0.002111708335813383
C3626,"Ogden, UT MSA",2024,Pharmaceuticals,7615.0,539679.0,0.014110239605395059
C3374,"Monroe, LA MSA",2024,Pharmaceuticals,228.0,174565.0,0.0013061037435912123
C1458,"Bozeman, MT MSA",2024,Semiconductors,1172.0,146433.0,0.00800366037710079
C4942,"Yakima, WA MSA",2024,Energy,1650.0,233095.0,0.007078658915892662
C4530,"Tampa-St. Petersburg-Clearwater, FL MSA",2024,Semiconductors,34588.0,2866154.0,0.012067739556213658
C4606,"Tucson, AZ MSA",2024,Semiconductors,11005.0,772624.0,0.01424366833026155
C1018,"Abilene, TX MSA",2024,Pharmaceuticals,31.0,148563.0,2.086656839186069E-4
C4038,"Rochester, NY MSA",2024,Energy,2894.0,990889.0,0.0029206096747466164
C4578,"Toledo, OH MSA",2024,Semiconductors,306.0,577713.0,5.296747693058665E-4
C1210,"Atlantic City-Hammonton, NJ MSA",2024,Semiconductors,4.0,335740.0,1.191398105677012E-5
C1518,"Brownsville-Harlingen, TX MSA",2024,Pharmaceuticals,517.0,313238.0,0.0016505021740657263
C1126,"Anchorage, AK MSA",2024,Pharmaceuticals,20.0,353542.0,5.657036504856566E-5
C2586,"Hickory-Lenoir-Morganton, NC MSA",2024,Semiconductors,555.0,305915.0,0.0018142294428190838
C4186,"San Francisco-Oakland-Fremont, CA MSA",2024,Semiconductors,96088.0,4798705.0,0.020023735570325746
C2222,"Fayetteville-Springdale-Rogers, AR MSA",2024,Pharmaceuticals,122.0,537794.0,2.268526610560921E-4
C4014,"Riverside-San Bernardino-Ontario, CA MSA",2024,Energy,30157.0,3372681.0,0.00894155124661953
C3370,"Modesto, CA MSA",2024,Semiconductors,104.0,398791.0,2.607882324325273E-4
C1426,"Boise City, ID MSA",2024,Pharmaceuticals,1164.0,773081.0,0.0015056637014750072
C4670,"Vallejo, CA MSA",2024,Energy,2149.0,286733.0,0.007494777371282691
C1674,"Charlotte-Concord-Gastonia, NC-SC MSA",2024,Energy,8395.0,2679468.0,0.003133084627246901
C4334,"Shreveport-Bossier City, LA MSA",2024,Semiconductors,152.0,322044.0,4.719851945696861E-4
C1450,"Boulder, CO MSA",2024,Semiconductors,27970.0,387840.0,0.07211736798679869
C4150,"Salinas, CA MSA",2024,Energy,1667.0,400488.0,0.004162421845348674
C3734,"Palm Bay-Melbourne-Titusville, FL MSA",2024,Energy,697.0,484248.0,0.0014393451289421949
C3982,"Redding, CA MSA",2024,Energy,1143.0,140180.0,0.008153802254244542
C4234,"Savannah, GA MSA",2024,Semiconductors,37.0,392442.0,9.428144795918887E-5
C2222,"Fayetteville-Springdale-Rogers, AR MSA",2024,Semiconductors,0.0,537794.0,0.0
C1888,"Crestview-Fort Walton Beach-Destin, FL MSA",2024,Pharmaceuticals,9.0,248979.0,3.614762690829347E-5
C3930,"Providence-Warwick, RI-MA MSA",2024,Energy,6177.0,1417829.0,0.0043566607820830295
C4378,"South Bend-Mishawaka, IN-MI MSA",2024,Semiconductors,1237.0,260831.0,0.004742534438007752
C4962,"York-Hanover, PA MSA",2024,Semiconductors,2813.0,365228.0,0.0077020381788909945
C4918,"Winston-Salem, NC MSA",2024,Pharmaceuticals,458.0,541734.0,8.454333676675269E-4
C3334,"Milwaukee-Waukesha, WI MSA",2024,Pharmaceuticals,12418.0,1633256.0,0.007603217131913184
C4142,"Salem, OR MSA",2024,Energy,1002.0,386417.0,0.0025930536182414334
C2934,"Lake Charles, LA MSA",2024,Semiconductors,18.0,201357.0,8.939346533768382E-5
C4594,"Trenton-Princeton, NJ MSA",2024,Energy,1889.0,528309.0,0.0035755590005091716
C4014,"Riverside-San Bernardino-Ontario, CA MSA",2024,Semiconductors,12402.0,3372681.0,0.003677193307045641
C4614,"Tulsa, OK MSA",2024,Energy,19960.0,906519.0,0.02201829194975505
C4918,"Winston-Salem, NC MSA",2024,Semiconductors,989.0,541734.0,0.001825619215334463
C2894,"Knoxville, TN MSA",2024,Pharmaceuticals,1344.0,840636.0,0.0015987894879591167
C2506,"Gulfport-Biloxi, MS MSA",2024,Pharmaceuticals,1346.0,319033.0,0.00421899928847486
C2874,"Kingston, NY MSA",2024,Pharmaceuticals,12.0,118660.0,1.0112927692566998E-4
C1242,"Austin-Round Rock-San Marcos, TX MSA",2024,Semiconductors,104057.0,2512986.0,0.041407711781919994
C3982,"Redding, CA MSA",2024,Semiconductors,936.0,140180.0,0.006677129405050649
C2306,"Fort Wayne, IN MSA",2024,Energy,607.0,446274.0,0.001360150938661002
C3786,"Pensacola-Ferry Pass-Brent, FL MSA",2024,Energy,3024.0,379041.0,0.007978028762060042
C3974,"Reading, PA MSA",2024,Semiconductors,1000.0,347384.0,0.0028786587753034105
C2050,"Durham-Chapel Hill, NC MSA",2024,Energy,1924.0,686015.0,0.0028046033978848858
C3346,"Minneapolis-St. Paul-Bloomington, MN-WI MSA",2024,Energy,21060.0,3866182.0,0.005447234506808008
C2454,"Greeley, CO MSA",2024,Pharmaceuticals,780.0,237654.0,0.003282082355020324
C3946,"Punta Gorda, FL MSA",2024,Semiconductors,56.0,112048.0,4.997858060831073E-4
C2642,"Houston-Pasadena-The Woodlands, TX MSA",2024,Semiconductors,50582.0,6504713.0,0.007776207805017685
C1538,"Buffalo-Cheektowaga, NY MSA",2024,Pharmaceuticals,15432.0,1068413.0,0.014443852704899698
C2166,"Eugene-Springfield, OR MSA",2024,Pharmaceuticals,1852.0,314856.0,0.0058820540183448945
C1042,"Akron, OH MSA",2024,Semiconductors,4960.0,635212.0,0.007808416717568308
C3258,"McAllen-Edinburg-Mission, TX MSA",2024,Energy,6390.0,583801.0,0.01094551054211966
C1474,"Bremerton-Silverdale-Port Orchard, WA MSA",2024,Pharmaceuticals,9.0,187143.0,4.809156634231577E-5
C2266,"Fort Collins-Loveland, CO MSA",2024,Semiconductors,10375.0,350529.0,0.02959812169606509
C4362,"Sioux Falls, SD-MN MSA",2024,Semiconductors,880.0,351330.0,0.002504767597415535
C1206,"Atlanta-Sandy Springs-Roswell, GA MSA",2024,Energy,14847.0,5749125.0,0.0025824799425999607
C3282,"Memphis, TN-MS-AR MSA",2024,Pharmaceuticals,10191.0,1231524.0,0.008275112787083322
C3890,"Portland-Vancouver-Hillsboro, OR-WA MSA",2024,Pharmaceuticals,7955.0,2434502.0,0.0032676087347638244
C1090,"Allentown-Bethlehem-Easton, PA-NJ MSA",2024,Pharmaceuticals,8124.0,742928.0,0.01093511080481554
C2982,"Las Vegas-Henderson-North Las Vegas, NV MSA",2024,Semiconductors,2893.0,2249544.0,0.00128603841489653
C1982,"Detroit-Warren-Dearborn, MI MSA",2024,Energy,6547.0,3828620.0,0.001710015619204831
C1382,"Birmingham, AL MSA",2024,Energy,19859.0,1032007.0,0.019243086529451836
C4506,"Syracuse, NY MSA",2024,Energy,4176.0,596848.0,0.006996756293059539
C1670,"Charleston-North Charleston, SC MSA",2024,Energy,6825.0,773726.0,0.008820952120001137
C2306,"Fort Wayne, IN MSA",2024,Pharmaceuticals,335.0,446274.0,7.506599084867144E-4
C3746,"Panama City-Panama City Beach, FL MSA",2024,Energy,164.0,177724.0,9.227791406900588E-4
C1074,"Albuquerque, NM MSA",2024,Semiconductors,8613.0,807408.0,0.010667469234884965
C2726,"Jacksonville, FL MSA",2024,Semiconductors,3093.0,1509516.0,0.0020490011367882157
C2542,"Harrisburg-Carlisle, PA MSA",2024,Energy,1025.0,671732.0,0.0015259061649586442
C4730,"Visalia, CA MSA",2024,Semiconductors,266.0,355314.0,7.486336029540069E-4
C3894,"Port St. Lucie, FL MSA",2024,Semiconductors,954.0,333690.0,0.0028589409332014743
C2870,"Kingsport-Bristol, TN-VA MSA",2024,Pharmaceuticals,1024.0,236200.0,0.004335309060118544
C1814,"Columbus, OH MSA",2024,Energy,19819.0,2182019.0,0.009082872330625902
C3915,"Prescott Valley-Prescott, AZ MSA",2024,Pharmaceuticals,54.0,143080.0,3.7741123846798995E-4
C1594,"Canton-Massillon, OH MSA",2024,Pharmaceuticals,1266.0,329190.0,0.003845803335459765
C4266,"Seattle-Tacoma-Bellevue, WA MSA",2024,Pharmaceuticals,9614.0,4161787.0,0.0023100653637487933
C3990,"Reno, NV MSA",2024,Pharmaceuticals,1002.0,547215.0,0.0018310901565198323
C3258,"McAllen-Edinburg-Mission, TX MSA",2024,Pharmaceuticals,159.0,583801.0,2.72353079217062E-4
C4726,"Virginia Beach-Chesapeake-Norfolk, VA-NC MSA",2024,Pharmaceuticals,422.0,1520611.0,2.7752002320120003E-4
C1714,"Cincinnati, OH-KY-IN MSA",2024,Pharmaceuticals,32808.0,2180783.0,0.01504413781655488
C4220,"Santa Maria-Santa Barbara, CA MSA",2024,Energy,3765.0,432646.0,0.008702264669036579
C4652,"Urban Honolulu, HI MSA",2024,Semiconductors,217.0,906387.0,2.3941208335953628E-4
C3786,"Pensacola-Ferry Pass-Brent, FL MSA",2024,Semiconductors,405.0,379041.0,0.0010684859949187555
C1458,"Bozeman, MT MSA",2024,Pharmaceuticals,269.0,146433.0,0.0018370176121502667
C4890,"Wilmington, NC MSA",2024,Pharmaceuticals,1220.0,372873.0,0.0032718915019322933
C2202,"Fargo, ND-MN MSA",2024,Semiconductors,824.0,295471.0,0.0027887677640106813
C1262,"Bangor, ME MSA",2024,Semiconductors,0.0,143967.0,0.0
C3886,"Portland-South Portland, ME MSA",2024,Pharmaceuticals,8699.0,578004.0,0.015050068857654964
C4418,"Springfield, MO MSA",2024,Semiconductors,2876.0,439814.0,0.006539127904068538
C2050,"Durham-Chapel Hill, NC MSA",2024,Pharmaceuticals,23460.0,686015.0,0.034197502970051676
C3958,"Raleigh-Cary, NC MSA",2024,Semiconductors,23080.0,1455810.0,0.015853717174631306
C1254,"Bakersfield-Delano, CA MSA",2024,Pharmaceuticals,1633.0,695327.0,0.0023485352934662397
C2894,"Knoxville, TN MSA",2024,Semiconductors,5377.0,840636.0,0.006396347527348341
